service_id,service_type_id,client_name,hours,service_date,service_time,hourly_rate,total_revenue,branch_id,department,service_description,Country,Region,Day_nbr,Day_name,weekend,Day,Month,Year,Hour,Periods per day,Season,Revenue_Level,Weeks
41,7,"Horn, Nichols and Li",1,8/2/2023,1:11:12,600,600,AM,Management,Strategy Consulting,United States,Americas,08,Monday,No,Monday - 08,February,2023,1,Midnight and After,Winter,Low,Week 2
42,8,"Murray, Graves and F",8,6/11/2023,19:59:48,1200,9600,AM,Tax,Quarterly Review,United States,Americas,06,Saturday,Weekend,Saturday - 06,November,2023,19,Evening,Autumn,High,Week 1
43,1,Lambert and Sons,8,15/03/2023,23:44:07,1500,12000,AM,Advisory,Market Analysis,United States,Americas,15,Monday,No,Monday - 15,March,2023,23,Night,Spring,High,Week 3
44,6,"Roman, Brown and Man",7,17/08/2023,14:20:29,1500,10500,AM,Tax,Legal Consultation,United States,Americas,17,Wednesday,No,Wednesday - 17,August,2023,14,Afternoon,Summer,High,Week 3
47,3,"White, Davenport and",1,6/10/2023,13:54:54,300,300,AM,Advisory,Annual Tax Filing,United States,Americas,06,Saturday,Weekend,Saturday - 06,October,2023,13,Midday/Noon,Autumn,Low,Week 1
48,3,"Reyes, Perez and Lee",5,28/01/2023,13:03:24,1200,6000,AM,Audit,Annual Tax Filing,United States,Americas,28,Sunday,Weekend,Sunday - 28,January,2023,13,Midday/Noon,Winter,High,Week 4
55,5,Vargas-Foster,8,5/12/2023,0:45:49,300,2400,AM,Advisory,Quarterly Review,United States,Americas,05,Friday,No,Friday - 05,December,2023,0,Midnight and After,Winter,Medium,Week 1
56,8,"Williams, Steele and",2,2/9/2023,2:51:45,900,1800,AM,Advisory,Legal Consultation,United States,Americas,02,Tuesday,No,Tuesday - 02,September,2023,2,Midnight and After,Autumn,Medium,Week 1
62,8,Ray-Fisher,2,18/11/2023,19:01:56,1500,3000,AM,Tax,Legal Consultation,United States,Americas,18,Thursday,No,Thursday - 18,November,2023,19,Evening,Autumn,Medium,Week 3
63,6,"Terrell, Maxwell and",1,26/12/2023,7:52:19,300,300,AM,Advisory,Market Analysis,United States,Americas,26,Friday,No,Friday - 26,December,2023,7,Morning,Winter,Low,Week 4
67,7,Parsons-Gross,1,18/01/2023,1:16:35,1200,1200,AM,Audit,Legal Consultation,United States,Americas,18,Thursday,No,Thursday - 18,January,2023,1,Midnight and After,Winter,Low,Week 3
69,7,Durham-Thomas,4,4/10/2023,20:10:32,600,2400,AM,Tax,Market Analysis,United States,Americas,04,Thursday,No,Thursday - 04,October,2023,20,Evening,Autumn,Medium,Week 1
70,3,Francis LLC,1,13/03/2023,15:09:07,300,300,AM,Management,Legal Consultation,United States,Americas,13,Saturday,Weekend,Saturday - 13,March,2023,15,Afternoon,Spring,Low,Week 2
71,1,Castro-Lopez,6,28/01/2023,1:01:34,1200,7200,AM,Advisory,Quarterly Review,United States,Americas,28,Sunday,Weekend,Sunday - 28,January,2023,1,Midnight and After,Winter,High,Week 4
81,9,Ray-Ferguson,6,6/9/2023,18:07:52,600,3600,AM,Legal,Legal Consultation,United States,Americas,06,Saturday,Weekend,Saturday - 06,September,2023,18,Evening,Autumn,High,Week 1
86,8,"Sanchez, Jackson and",6,7/12/2023,4:18:57,1500,9000,AM,Tax,Legal Consultation,United States,Americas,07,Sunday,Weekend,Sunday - 07,December,2023,4,Midnight and After,Winter,High,Week 1
92,2,Dillon-Johnson,4,9/4/2023,17:58:57,600,2400,AM,Audit,Annual Tax Filing,United States,Americas,09,Tuesday,No,Tuesday - 09,April,2023,17,Afternoon,Spring,Medium,Week 2
99,1,"Riggs, Barber and Pu",7,3/10/2023,3:09:59,300,2100,AM,Advisory,Quarterly Review,United States,Americas,03,Wednesday,No,Wednesday - 03,October,2023,3,Midnight and After,Autumn,Medium,Week 1
102,1,Thomas Inc,4,20/07/2023,7:41:44,1200,4800,AM,Legal,Strategy Consulting,United States,Americas,20,Saturday,Weekend,Saturday - 20,July,2023,7,Morning,Summer,High,Week 3
104,8,Luna-Moran,7,1/9/2023,8:55:51,300,2100,AM,Tax,Legal Consultation,United States,Americas,01,Monday,No,Monday - 01,September,2023,8,Morning,Autumn,Medium,Week 1
105,8,Martinez-Lee,6,7/10/2023,3:35:48,1200,7200,AM,Legal,Legal Consultation,United States,Americas,07,Sunday,Weekend,Sunday - 07,October,2023,3,Midnight and After,Autumn,High,Week 1
108,4,Silva Inc,7,26/09/2023,16:11:55,900,6300,AM,Tax,Legal Consultation,United States,Americas,26,Friday,No,Friday - 26,September,2023,16,Afternoon,Autumn,High,Week 4
109,5,"Ellison, Hart and Go",6,6/10/2023,18:56:51,900,5400,AM,Legal,Strategy Consulting,United States,Americas,06,Saturday,Weekend,Saturday - 06,October,2023,18,Evening,Autumn,High,Week 1
110,8,Fuentes-Dalton,8,5/6/2023,4:44:53,600,4800,AM,Audit,Market Analysis,United States,Americas,05,Friday,No,Friday - 05,June,2023,4,Midnight and After,Summer,High,Week 1
123,4,Jenkins Group,1,23/01/2023,21:01:20,1500,1500,AM,Legal,Strategy Consulting,United States,Americas,23,Tuesday,No,Tuesday - 23,January,2023,21,Night,Winter,Low,Week 4
130,9,Barber Inc,7,10/1/2023,9:25:25,600,4200,AM,Audit,Quarterly Review,United States,Americas,10,Wednesday,No,Wednesday - 10,January,2023,9,Morning,Winter,High,Week 2
133,7,Mccarthy-Campbell,5,20/01/2023,5:18:47,900,4500,AM,Advisory,Annual Tax Filing,United States,Americas,20,Saturday,Weekend,Saturday - 20,January,2023,5,Midnight and After,Winter,High,Week 3
143,4,White Group,3,2/5/2023,3:26:22,1200,3600,AM,Tax,Annual Tax Filing,United States,Americas,02,Tuesday,No,Tuesday - 02,May,2023,3,Midnight and After,Spring,High,Week 1
144,3,"Perry, Miller and Co",5,17/08/2023,0:19:56,1200,6000,AM,Management,Quarterly Review,United States,Americas,17,Wednesday,No,Wednesday - 17,August,2023,0,Midnight and After,Summer,High,Week 3
147,1,Morrison-Meza,3,6/6/2023,17:37:17,600,1800,AM,Management,Market Analysis,United States,Americas,06,Saturday,Weekend,Saturday - 06,June,2023,17,Afternoon,Summer,Medium,Week 1
152,3,Jackson PLC,2,6/12/2023,20:18:55,1500,3000,AM,Advisory,Quarterly Review,United States,Americas,06,Saturday,Weekend,Saturday - 06,December,2023,20,Evening,Winter,Medium,Week 1
157,8,Lawson-Wise,4,23/02/2023,4:40:16,900,3600,AM,Audit,Market Analysis,United States,Americas,23,Tuesday,No,Tuesday - 23,February,2023,4,Midnight and After,Winter,High,Week 4
158,3,"Smith, Christensen a",2,26/06/2023,22:59:33,900,1800,AM,Advisory,Market Analysis,United States,Americas,26,Friday,No,Friday - 26,June,2023,22,Night,Summer,Medium,Week 4
161,7,Rollins-Silva,5,15/01/2023,12:49:37,900,4500,AM,Audit,Strategy Consulting,United States,Americas,15,Monday,No,Monday - 15,January,2023,12,Midday/Noon,Winter,High,Week 3
162,7,Fernandez-Turner,4,4/8/2023,14:51:34,1200,4800,AM,Legal,Strategy Consulting,United States,Americas,04,Thursday,No,Thursday - 04,August,2023,14,Afternoon,Summer,High,Week 1
163,7,Bautista PLC,5,24/04/2023,9:02:35,1500,7500,AM,Advisory,Quarterly Review,United States,Americas,24,Wednesday,No,Wednesday - 24,April,2023,9,Morning,Spring,High,Week 4
168,2,Martinez Ltd,5,6/6/2023,12:06:44,900,4500,AM,Tax,Annual Tax Filing,United States,Americas,06,Saturday,Weekend,Saturday - 06,June,2023,12,Midday/Noon,Summer,High,Week 1
172,2,Conner and Sons,2,12/9/2023,21:49:32,600,1200,AM,Advisory,Annual Tax Filing,United States,Americas,12,Friday,No,Friday - 12,September,2023,21,Night,Autumn,Low,Week 2
183,4,Matthews PLC,2,9/5/2023,16:28:49,1500,3000,AM,Legal,Strategy Consulting,United States,Americas,09,Tuesday,No,Tuesday - 09,May,2023,16,Afternoon,Spring,Medium,Week 2
184,2,"Beard, Chambers and ",1,25/03/2023,10:05:35,900,900,AM,Advisory,Annual Tax Filing,United States,Americas,25,Thursday,No,Thursday - 25,March,2023,10,Morning,Spring,Low,Week 4
186,9,"Smith, Scott and Kim",8,11/6/2023,15:13:38,300,2400,AM,Legal,Strategy Consulting,United States,Americas,11,Thursday,No,Thursday - 11,June,2023,15,Afternoon,Summer,Medium,Week 2
194,8,Johnson LLC,2,24/05/2023,9:34:06,900,1800,AM,Management,Annual Tax Filing,United States,Americas,24,Wednesday,No,Wednesday - 24,May,2023,9,Morning,Spring,Medium,Week 4
195,6,"Kelly, Ritter and Sw",7,16/02/2023,18:22:19,1200,8400,AM,Legal,Annual Tax Filing,United States,Americas,16,Tuesday,No,Tuesday - 16,February,2023,18,Evening,Winter,High,Week 3
200,2,Davis Ltd,2,1/9/2023,15:12:42,600,1200,AM,Tax,Strategy Consulting,United States,Americas,01,Monday,No,Monday - 01,September,2023,15,Afternoon,Autumn,Low,Week 1
204,7,"Sandoval, Bowen and ",4,10/3/2023,13:19:05,900,3600,AM,Tax,Market Analysis,United States,Americas,10,Wednesday,No,Wednesday - 10,March,2023,13,Midday/Noon,Spring,High,Week 2
211,4,Bowman-Escobar,2,2/5/2023,17:02:01,300,600,AM,Advisory,Annual Tax Filing,United States,Americas,02,Tuesday,No,Tuesday - 02,May,2023,17,Afternoon,Spring,Low,Week 1
215,8,"Wells, Greene and Ro",6,29/05/2023,11:01:37,1500,9000,AM,Tax,Quarterly Review,United States,Americas,29,Monday,No,Monday - 29,May,2023,11,Morning,Spring,High,Week 4
220,6,"Sanchez, Phillips an",1,3/2/2023,5:23:30,300,300,AM,Tax,Annual Tax Filing,United States,Americas,03,Wednesday,No,Wednesday - 03,February,2023,5,Midnight and After,Winter,Low,Week 1
222,3,Gomez Inc,1,15/03/2023,7:12:21,1500,1500,AM,Tax,Market Analysis,United States,Americas,15,Monday,No,Monday - 15,March,2023,7,Morning,Spring,Low,Week 3
226,5,"Hoover, Carpenter an",1,16/08/2023,19:55:10,300,300,AM,Management,Quarterly Review,United States,Americas,16,Tuesday,No,Tuesday - 16,August,2023,19,Evening,Summer,Low,Week 3
231,7,Bailey-Parrish,3,1/1/2023,2:41:13,600,1800,AM,Tax,Market Analysis,United States,Americas,01,Monday,No,Monday - 01,January,2023,2,Midnight and After,Winter,Medium,Week 1
245,1,"Garcia, Wagner and A",5,19/06/2023,22:46:58,600,3000,AM,Management,Legal Consultation,United States,Americas,19,Friday,No,Friday - 19,June,2023,22,Night,Summer,Medium,Week 3
252,5,Watson-Grant,6,1/1/2023,16:50:11,900,5400,AM,Advisory,Legal Consultation,United States,Americas,01,Monday,No,Monday - 01,January,2023,16,Afternoon,Winter,High,Week 1
259,3,Jones and Sons,5,22/12/2023,11:54:28,1200,6000,AM,Legal,Legal Consultation,United States,Americas,22,Monday,No,Monday - 22,December,2023,11,Morning,Winter,High,Week 4
262,9,Cooper Ltd,6,5/10/2023,2:05:35,300,1800,AM,Audit,Strategy Consulting,United States,Americas,05,Friday,No,Friday - 05,October,2023,2,Midnight and After,Autumn,Medium,Week 1
265,4,Black-Lang,1,1/12/2023,7:58:35,1500,1500,AM,Legal,Legal Consultation,United States,Americas,01,Monday,No,Monday - 01,December,2023,7,Morning,Winter,Low,Week 1
273,4,"Brown, Alvarado and ",1,29/11/2023,7:06:23,1500,1500,AM,Tax,Strategy Consulting,United States,Americas,29,Monday,No,Monday - 29,November,2023,7,Morning,Autumn,Low,Week 4
278,2,Ruiz-Johnson,8,10/12/2023,10:40:55,1500,12000,AM,Audit,Annual Tax Filing,United States,Americas,10,Wednesday,No,Wednesday - 10,December,2023,10,Morning,Winter,High,Week 2
284,2,"Black, Wood and Warr",4,2/10/2023,5:12:10,300,1200,AM,Legal,Strategy Consulting,United States,Americas,02,Tuesday,No,Tuesday - 02,October,2023,5,Midnight and After,Autumn,Low,Week 1
291,7,Phillips-Thompson,1,16/01/2023,19:47:50,1200,1200,AM,Management,Strategy Consulting,United States,Americas,16,Tuesday,No,Tuesday - 16,January,2023,19,Evening,Winter,Low,Week 3
298,6,Ray-Collins,2,12/2/2023,5:19:43,1500,3000,AM,Management,Annual Tax Filing,United States,Americas,12,Friday,No,Friday - 12,February,2023,5,Midnight and After,Winter,Medium,Week 2
300,7,Hall-Richardson,6,9/12/2023,23:22:52,900,5400,AM,Tax,Quarterly Review,United States,Americas,09,Tuesday,No,Tuesday - 09,December,2023,23,Night,Winter,High,Week 2
306,6,Paul-Day,4,12/1/2023,7:09:16,1200,4800,AM,Management,Market Analysis,United States,Americas,12,Friday,No,Friday - 12,January,2023,7,Morning,Winter,High,Week 2
307,3,Howe PLC,1,26/01/2023,5:38:21,600,600,AM,Tax,Annual Tax Filing,United States,Americas,26,Friday,No,Friday - 26,January,2023,5,Midnight and After,Winter,Low,Week 4
317,7,White PLC,6,6/9/2023,22:24:23,1200,7200,AM,Management,Legal Consultation,United States,Americas,06,Saturday,Weekend,Saturday - 06,September,2023,22,Night,Autumn,High,Week 1
319,9,Berry-Jones,13,25/08/2023,11:00:14,900,11700,AM,Audit,Annual Tax Filing,United States,Americas,25,Thursday,No,Thursday - 25,August,2023,11,Morning,Summer,High,Week 4
320,8,Maxwell-Harvey,9,3/11/2023,11:50:43,600,5400,AM,Audit,Annual Tax Filing,United States,Americas,03,Wednesday,No,Wednesday - 03,November,2023,11,Morning,Autumn,High,Week 1
321,4,Russo and Sons,3,27/06/2023,12:58:37,900,2700,AM,Advisory,Quarterly Review,United States,Americas,27,Saturday,Weekend,Saturday - 27,June,2023,12,Midday/Noon,Summer,Medium,Week 4
322,2,Smith Group,3,2/8/2023,15:44:07,1500,4500,AM,Advisory,Market Analysis,United States,Americas,02,Tuesday,No,Tuesday - 02,August,2023,15,Afternoon,Summer,High,Week 1
323,9,Garcia-Mitchell,7,17/10/2023,17:49:34,600,4200,AM,Tax,Annual Tax Filing,United States,Americas,17,Wednesday,No,Wednesday - 17,October,2023,17,Afternoon,Autumn,High,Week 3
324,8,Baker-Flores,6,31/10/2023,2:08:15,300,1800,AM,Legal,Strategy Consulting,United States,Americas,31,Wednesday,No,Wednesday - 31,October,2023,2,Midnight and After,Autumn,Medium,Week 4
334,2,"Snyder, Cooper and R",4,9/7/2023,14:37:30,1200,4800,AM,Management,Quarterly Review,United States,Americas,09,Tuesday,No,Tuesday - 09,July,2023,14,Afternoon,Summer,High,Week 2
342,4,Martinez PLC,3,25/05/2023,7:58:05,900,2700,AM,Advisory,Strategy Consulting,United States,Americas,25,Thursday,No,Thursday - 25,May,2023,7,Morning,Spring,Medium,Week 4
344,1,Bryant Inc,5,11/10/2023,14:58:25,900,4500,AM,Advisory,Strategy Consulting,United States,Americas,11,Thursday,No,Thursday - 11,October,2023,14,Afternoon,Autumn,High,Week 2
364,8,Odonnell LLC,2,30/09/2023,6:30:12,600,1200,AM,Advisory,Legal Consultation,United States,Americas,30,Tuesday,No,Tuesday - 30,September,2023,6,Morning,Autumn,Low,Week 4
367,2,Williams LLC,8,16/08/2023,19:38:07,900,7200,AM,Advisory,Quarterly Review,United States,Americas,16,Tuesday,No,Tuesday - 16,August,2023,19,Evening,Summer,High,Week 3
371,2,Roy Ltd,1,15/03/2023,21:59:58,300,300,AM,Legal,Legal Consultation,United States,Americas,15,Monday,No,Monday - 15,March,2023,21,Night,Spring,Low,Week 3
372,1,"Richardson, Ford and",4,6/7/2023,12:51:17,900,3600,AM,Management,Annual Tax Filing,United States,Americas,06,Saturday,Weekend,Saturday - 06,July,2023,12,Midday/Noon,Summer,High,Week 1
373,4,Graves-Mann,6,25/02/2023,7:18:19,900,5400,AM,Audit,Market Analysis,United States,Americas,25,Thursday,No,Thursday - 25,February,2023,7,Morning,Winter,High,Week 4
374,5,"Harrington, Rangel a",5,22/06/2023,16:56:17,1200,6000,AM,Advisory,Market Analysis,United States,Americas,22,Monday,No,Monday - 22,June,2023,16,Afternoon,Summer,High,Week 4
379,3,Shaw Ltd,10,3/4/2023,20:52:42,900,9000,AM,Audit,Legal Consultation,United States,Americas,03,Wednesday,No,Wednesday - 03,April,2023,20,Evening,Spring,High,Week 1
392,8,"Wolf, Crawford and V",5,3/2/2023,22:17:50,600,3000,AM,Audit,Strategy Consulting,United States,Americas,03,Wednesday,No,Wednesday - 03,February,2023,22,Night,Winter,Medium,Week 1
399,7,"Cowan, Anderson and ",6,26/08/2023,9:42:38,300,1800,AM,Management,Annual Tax Filing,United States,Americas,26,Friday,No,Friday - 26,August,2023,9,Morning,Summer,Medium,Week 4
403,7,Riley Inc,5,23/12/2023,9:15:44,1500,7500,AM,Legal,Market Analysis,United States,Americas,23,Tuesday,No,Tuesday - 23,December,2023,9,Morning,Winter,High,Week 4
406,1,Arias-Moore,3,3/6/2023,22:28:45,1200,3600,AM,Management,Legal Consultation,United States,Americas,03,Wednesday,No,Wednesday - 03,June,2023,22,Night,Summer,High,Week 1
408,2,Walker and Sons,2,17/08/2023,10:34:58,600,1200,AM,Tax,Annual Tax Filing,United States,Americas,17,Wednesday,No,Wednesday - 17,August,2023,10,Morning,Summer,Low,Week 3
412,9,"Gonzalez, Sharp and ",7,28/06/2023,21:41:40,1200,8400,AM,Legal,Strategy Consulting,United States,Americas,28,Sunday,Weekend,Sunday - 28,June,2023,21,Night,Summer,High,Week 4
415,9,Anderson-Miles,29,23/11/2023,3:45:00,600,17400,AM,Audit,Quarterly Review,United States,Americas,23,Tuesday,No,Tuesday - 23,November,2023,3,Midnight and After,Autumn,High,Week 4
416,5,"Page, Holland and Cu",2,30/10/2023,13:47:12,600,1200,AM,Audit,Quarterly Review,United States,Americas,30,Tuesday,No,Tuesday - 30,October,2023,13,Midday/Noon,Autumn,Low,Week 4
417,2,Brandt-Smith,8,7/8/2023,11:10:50,900,7200,AM,Advisory,Annual Tax Filing,United States,Americas,07,Sunday,Weekend,Sunday - 07,August,2023,11,Morning,Summer,High,Week 1
420,6,"Sexton, Carter and M",6,19/03/2023,13:39:19,1500,9000,AM,Advisory,Annual Tax Filing,United States,Americas,19,Friday,No,Friday - 19,March,2023,13,Midday/Noon,Spring,High,Week 3
421,5,Lewis-Mason,3,5/7/2023,9:19:22,600,1800,AM,Advisory,Legal Consultation,United States,Americas,05,Friday,No,Friday - 05,July,2023,9,Morning,Summer,Medium,Week 1
430,1,Wilson and Sons,7,30/12/2023,2:15:20,300,2100,AM,Management,Strategy Consulting,United States,Americas,30,Tuesday,No,Tuesday - 30,December,2023,2,Midnight and After,Winter,Medium,Week 4
436,7,Moody-Smith,6,18/12/2023,10:03:19,1200,7200,AM,Management,Annual Tax Filing,United States,Americas,18,Thursday,No,Thursday - 18,December,2023,10,Morning,Winter,High,Week 3
438,1,Davis Inc,5,2/6/2023,18:14:17,1500,7500,AM,Tax,Legal Consultation,United States,Americas,02,Tuesday,No,Tuesday - 02,June,2023,18,Evening,Summer,High,Week 1
442,8,"Matthews, Bailey and",4,12/9/2023,1:34:22,600,2400,AM,Advisory,Strategy Consulting,United States,Americas,12,Friday,No,Friday - 12,September,2023,1,Midnight and After,Autumn,Medium,Week 2
443,8,"Hill, Owens and Frye",7,18/11/2023,13:37:47,600,4200,AM,Advisory,Quarterly Review,United States,Americas,18,Thursday,No,Thursday - 18,November,2023,13,Midday/Noon,Autumn,High,Week 3
452,1,Delacruz PLC,8,13/07/2023,20:31:18,600,4800,AM,Tax,Market Analysis,United States,Americas,13,Saturday,Weekend,Saturday - 13,July,2023,20,Evening,Summer,High,Week 2
458,8,"Gutierrez, Tate and ",2,18/08/2023,13:37:35,300,600,AM,Advisory,Legal Consultation,United States,Americas,18,Thursday,No,Thursday - 18,August,2023,13,Midday/Noon,Summer,Low,Week 3
461,1,"Morris, Guzman and P",5,8/11/2023,14:58:59,600,3000,AM,Audit,Legal Consultation,United States,Americas,08,Monday,No,Monday - 08,November,2023,14,Afternoon,Autumn,Medium,Week 2
464,3,Lopez-Williamson,7,7/7/2023,21:17:12,600,4200,AM,Legal,Annual Tax Filing,United States,Americas,07,Sunday,Weekend,Sunday - 07,July,2023,21,Night,Summer,High,Week 1
465,7,"Liu, Valdez and Mcke",8,29/12/2023,20:54:15,1500,12000,AM,Advisory,Strategy Consulting,United States,Americas,29,Monday,No,Monday - 29,December,2023,20,Evening,Winter,High,Week 4
475,7,Rodriguez-Lewis,8,27/03/2023,21:31:45,900,7200,AM,Advisory,Quarterly Review,United States,Americas,27,Saturday,Weekend,Saturday - 27,March,2023,21,Night,Spring,High,Week 4
477,7,Mckenzie-Harris,3,15/11/2023,21:01:43,1200,3600,AM,Management,Quarterly Review,United States,Americas,15,Monday,No,Monday - 15,November,2023,21,Night,Autumn,High,Week 3
478,5,"Duarte, Perez and Re",5,31/07/2023,7:36:43,1200,6000,AM,Management,Legal Consultation,United States,Americas,31,Wednesday,No,Wednesday - 31,July,2023,7,Morning,Summer,High,Week 4
487,5,"Davis, Delgado and W",7,5/9/2023,17:20:30,300,2100,AM,Legal,Strategy Consulting,United States,Americas,05,Friday,No,Friday - 05,September,2023,17,Afternoon,Autumn,Medium,Week 1
495,5,Gilmore and Sons,1,2/3/2023,22:24:42,1200,1200,AM,Tax,Legal Consultation,United States,Americas,02,Tuesday,No,Tuesday - 02,March,2023,22,Night,Spring,Low,Week 1
498,2,"Jordan, Butler and T",8,12/11/2023,23:38:04,900,7200,AM,Legal,Legal Consultation,United States,Americas,12,Friday,No,Friday - 12,November,2023,23,Night,Autumn,High,Week 2
499,4,"Dalton, Rowe and Ste",4,1/2/2023,19:37:22,300,1200,AM,Tax,Market Analysis,United States,Americas,01,Monday,No,Monday - 01,February,2023,19,Evening,Winter,Low,Week 1
504,8,Smith-Henderson,1,9/6/2023,14:57:29,300,300,AM,Tax,Annual Tax Filing,United States,Americas,09,Tuesday,No,Tuesday - 09,June,2023,14,Afternoon,Summer,Low,Week 2
507,3,Williams PLC,3,19/11/2023,9:43:02,1200,3600,AM,Management,Annual Tax Filing,United States,Americas,19,Friday,No,Friday - 19,November,2023,9,Morning,Autumn,High,Week 3
509,9,Harris Group,4,12/11/2023,5:20:07,1500,6000,AM,Audit,Annual Tax Filing,United States,Americas,12,Friday,No,Friday - 12,November,2023,5,Midnight and After,Autumn,High,Week 2
520,4,Brandt Inc,6,18/03/2023,23:41:14,900,5400,AM,Management,Quarterly Review,United States,Americas,18,Thursday,No,Thursday - 18,March,2023,23,Night,Spring,High,Week 3
527,3,Jackson-Alvarez,3,22/01/2023,1:34:30,300,900,AM,Tax,Annual Tax Filing,United States,Americas,22,Monday,No,Monday - 22,January,2023,1,Midnight and After,Winter,Low,Week 4
529,9,Barrera Ltd,6,6/3/2023,2:37:25,600,3600,AM,Advisory,Annual Tax Filing,United States,Americas,06,Saturday,Weekend,Saturday - 06,March,2023,2,Midnight and After,Spring,High,Week 1
536,6,"Larson, Cantu and Wa",4,21/05/2023,11:00:38,1200,4800,AM,Audit,Strategy Consulting,United States,Americas,21,Sunday,Weekend,Sunday - 21,May,2023,11,Morning,Spring,High,Week 3
545,5,"White, Crawford and ",4,6/1/2023,7:44:13,900,3600,AM,Audit,Annual Tax Filing,United States,Americas,06,Saturday,Weekend,Saturday - 06,January,2023,7,Morning,Winter,High,Week 1
546,3,"Lawson, Parker and J",8,11/5/2023,18:25:19,900,7200,AM,Tax,Quarterly Review,United States,Americas,11,Thursday,No,Thursday - 11,May,2023,18,Evening,Spring,High,Week 2
557,7,Hamilton Inc,6,26/12/2023,12:35:34,1200,7200,AM,Management,Quarterly Review,United States,Americas,26,Friday,No,Friday - 26,December,2023,12,Midday/Noon,Winter,High,Week 4
558,3,"Lucas, Montoya and V",7,10/7/2023,4:27:09,600,4200,AM,Management,Quarterly Review,United States,Americas,10,Wednesday,No,Wednesday - 10,July,2023,4,Midnight and After,Summer,High,Week 2
561,2,Miles LLC,1,20/04/2023,7:09:41,1200,1200,AM,Advisory,Legal Consultation,United States,Americas,20,Saturday,Weekend,Saturday - 20,April,2023,7,Morning,Spring,Low,Week 3
564,5,"Bryant, Wade and Bla",1,25/06/2023,11:01:31,1500,1500,AM,Legal,Strategy Consulting,United States,Americas,25,Thursday,No,Thursday - 25,June,2023,11,Morning,Summer,Low,Week 4
568,9,Bradley LLC,3,28/10/2023,8:51:53,1200,3600,AM,Management,Market Analysis,United States,Americas,28,Sunday,Weekend,Sunday - 28,October,2023,8,Morning,Autumn,High,Week 4
571,3,"Guerra, Ware and Oli",4,23/11/2023,12:35:57,600,2400,AM,Audit,Strategy Consulting,United States,Americas,23,Tuesday,No,Tuesday - 23,November,2023,12,Midday/Noon,Autumn,Medium,Week 4
572,8,"Valdez, Johnson and ",4,1/4/2023,8:28:10,1500,6000,AM,Audit,Quarterly Review,United States,Americas,01,Monday,No,Monday - 01,April,2023,8,Morning,Spring,High,Week 1
577,8,"Ferguson, Daniels an",8,25/01/2023,11:48:41,1200,9600,AM,Advisory,Quarterly Review,United States,Americas,25,Thursday,No,Thursday - 25,January,2023,11,Morning,Winter,High,Week 4
